text,reading,btype
ああ,ああ,感動詞
愛,あい,名詞
あい,あい,名詞
藍,あい,名詞
あい,あい,名詞
愛育,あいいく,名詞
あい育,あいいく,名詞
あいいく,あいいく,名詞
相容れない,あいいれない,形容詞
あい容れない,あいいれない,形容詞
相いれない,あいいれない,形容詞
あいいれない,あいいれない,形容詞
藍色,あいいろ,名詞
あい色,あいいろ,名詞
あいいろ,あいいろ,名詞
愛飲,あいいん,名詞
あい飲,あいいん,名詞
あいいん,あいいん,名詞
合い鍵,あいかぎ,名詞
合いかぎ,あいかぎ,名詞
あいかぎ,あいかぎ,名詞
相方,あいかた,名詞
あいかた,あいかた,名詞
相変わらず,あいかわらず,副詞
あい変わらず,あいかわらず,副詞
相かわらず,あいかわらず,副詞
あいかわらず,あいかわらず,副詞
哀感,あいかん,名詞
あい感,あいかん,名詞
あいかん,あいかん,名詞
哀歓,あいかん,名詞
哀かん,あいかん,名詞
あい歓,あいかん,名詞
あいかん,あいかん,名詞
哀願,あいがん,名詞
哀がん,あいがん,名詞
あい願,あいがん,名詞
あいがん,あいがん,名詞
愛玩,あいがん,名詞
愛翫,あいがん,名詞
愛がん,あいがん,名詞
あい玩,あいがん,名詞
あい翫,あいがん,名詞
あいがん,あいがん,名詞
合気道,あいきどう,名詞
あいきどう,あいきどう,名詞
愛嬌,あいきょう,名詞
愛敬,あいきょう,名詞
愛きょう,あいきょう,名詞
あい嬌,あいきょう,名詞
あいきょう,あいきょう,名詞
合い口,あいくち,名詞
合口,あいくち,名詞
あいくち,あいくち,名詞
愛くるしい,あいくるしい,形容詞
あいくるしい,あいくるしい,形容詞
愛犬,あいけん,名詞
あい犬,あいけん,名詞
あいけん,あいけん,名詞
愛顧,あいこ,名詞
あい顧,あいこ,名詞
あいこ,あいこ,名詞
相子,あいこ,名詞
あいこ,あいこ,名詞
愛好,あいこう,名詞
愛こう,あいこう,名詞
あい好,あいこう,名詞
あいこう,あいこう,名詞
愛国,あいこく,名詞
あい国,あいこく,名詞
あいこく,あいこく,名詞
合い言葉,あいことば,名詞
合言葉,あいことば,名詞
あいことば,あいことば,名詞
アイコン,あいこん,名詞
愛護,あいご,名詞
あい護,あいご,名詞
あいご,あいご,名詞
愛妻,あいさい,名詞
愛さい,あいさい,名詞
あい妻,あいさい,名詞
あいさい,あいさい,名詞
挨拶,あいさつ,名詞
挨さつ,あいさつ,名詞
あい拶,あいさつ,名詞
あいさつ,あいさつ,名詞
愛車,あいしゃ,名詞
あい車,あいしゃ,名詞
あいしゃ,あいしゃ,名詞
哀愁,あいしゅう,名詞
哀しゅう,あいしゅう,名詞
あい愁,あいしゅう,名詞
あいしゅう,あいしゅう,名詞
愛唱,あいしょう,名詞
愛しょう,あいしょう,名詞
あい唱,あいしょう,名詞
あいしょう,あいしょう,名詞
合い性,あいしょう,名詞
相性,あいしょう,名詞
合いしょう,あいしょう,名詞
相しょう,あいしょう,名詞
あいしょう,あいしょう,名詞
愛称,あいしょう,名詞
愛しょう,あいしょう,名詞
あい称,あいしょう,名詞
あいしょう,あいしょう,名詞
愛児,あいじ,名詞
あい児,あいじ,名詞
あいじ,あいじ,名詞
愛情,あいじょう,名詞
愛じょう,あいじょう,名詞
あい情,あいじょう,名詞
あいじょう,あいじょう,名詞
愛人,あいじん,名詞
あい人,あいじん,名詞
あいじん,あいじん,名詞
愛す,あいす,動詞
あいす,あいす,動詞
アイス,あいす,名詞
アイスクリーム,あいすくりーむ,名詞
アイスホッケ,あいすほっけ,名詞
アイスホッケー,あいすほっけー,名詞
愛する,あいする,動詞
あいする,あいする,動詞
合図,あいず,名詞
あいず,あいず,名詞
哀惜,あいせき,名詞
哀せき,あいせき,名詞
あい惜,あいせき,名詞
あいせき,あいせき,名詞
愛せる,あいせる,動詞
あいせる,あいせる,動詞
愛想,あいそ,名詞
あい想,あいそ,名詞
あいそ,あいそ,名詞
愛想尽かし,あいそづかし,名詞
愛想尽,あいそづかし,名詞
あい想尽かし,あいそづかし,名詞
愛想づかし,あいそづかし,名詞
あい想尽,あいそづかし,名詞
あい想づかし,あいそづかし,名詞
あいそづかし,あいそづかし,名詞
愛蔵,あいぞう,名詞
愛ぞう,あいぞう,名詞
あい蔵,あいぞう,名詞
あいぞう,あいぞう,名詞
愛憎,あいぞう,名詞
愛ぞう,あいぞう,名詞
あい憎,あいぞう,名詞
あいぞう,あいぞう,名詞
相対する,あいたいする,動詞
相たいする,あいたいする,動詞
あい対する,あいたいする,動詞
あいたいする,あいたいする,動詞
間,あいだ,名詞
あいだ,あいだ,名詞
間柄,あいだがら,名詞
間がら,あいだがら,名詞
あいだがら,あいだがら,名詞
愛着,あいちゃく,名詞
あい着,あいちゃく,名詞
あいちゃく,あいちゃく,名詞
哀調,あいちょう,名詞
あい調,あいちょう,名詞
あいちょう,あいちょう,名詞
あいつ,あいつ,名詞
相次いで,あいついで,副詞
あい次いで,あいついで,副詞
相ついで,あいついで,副詞
あいついで,あいついで,副詞
相次ぐ,あいつぐ,動詞
あい次ぐ,あいつぐ,動詞
相つぐ,あいつぐ,動詞
あいつぐ,あいつぐ,動詞
相次げる,あいつげる,動詞
あい次げる,あいつげる,動詞
相つげる,あいつげる,動詞
あいつげる,あいつげる,動詞
相槌,あいづち,名詞
相鎚,あいづち,名詞
相づち,あいづち,名詞
あいづち,あいづち,名詞
相手,あいて,名詞
あいて,あいて,名詞
相手方,あいてかた,名詞
あいてかた,あいてかた,名詞
相手取る,あいてどる,動詞
あい手取る,あいてどる,動詞
相手どる,あいてどる,動詞
相て取る,あいてどる,動詞
あい手どる,あいてどる,動詞
あいて取る,あいてどる,動詞
相てどる,あいてどる,動詞
あいてどる,あいてどる,動詞
相手取れる,あいてどれる,動詞
あい手取れる,あいてどれる,動詞
相手どれる,あいてどれる,動詞
相て取れる,あいてどれる,動詞
あい手どれる,あいてどれる,動詞
あいて取れる,あいてどれる,動詞
相てどれる,あいてどれる,動詞
あいてどれる,あいてどれる,動詞
アイテム,あいてむ,名詞
アイデア,あいであ,名詞
アイディア,あいでぃあ,名詞
アイデンティティ,あいでんてぃてぃ,名詞
アイデンティティー,あいでんてぃてぃー,名詞
哀悼,あいとう,名詞
哀とう,あいとう,名詞
あい悼,あいとう,名詞
あいとう,あいとう,名詞
愛読,あいどく,名詞
あい読,あいどく,名詞
あいどく,あいどく,名詞
アイドル,あいどる,名詞
生憎,あいにく,副詞
あいにく,あいにく,副詞
あいにくだ,あいにくだ,形容詞
合いの手,あいのて,名詞
間の手,あいのて,名詞
合の手,あいのて,名詞
あいのて,あいのて,名詞
相乗り,あいのり,名詞
あいのり,あいのり,名詞
相反する,あいはんする,動詞
相はんする,あいはんする,動詞
あい反する,あいはんする,動詞
あいはんする,あいはんする,動詞
合い服,あいふく,名詞
合服,あいふく,名詞
あいふく,あいふく,名詞
相棒,あいぼう,名詞
相ぼう,あいぼう,名詞
あいぼう,あいぼう,名詞
合間,あいま,名詞
あいま,あいま,名詞
曖昧だ,あいまいだ,形容詞
曖まいだ,あいまいだ,形容詞
あい昧だ,あいまいだ,形容詞
あいまいだ,あいまいだ,形容詞
相俟つ,あいまつ,動詞
あい俟つ,あいまつ,動詞
相まつ,あいまつ,動詞
あいまつ,あいまつ,動詞
相俟てる,あいまてる,動詞
あい俟てる,あいまてる,動詞
相まてる,あいまてる,動詞
あいまてる,あいまてる,動詞
愛用,あいよう,名詞
あい用,あいよう,名詞
あいよう,あいよう,名詞
哀楽,あいらく,名詞
あい楽,あいらく,名詞
あいらく,あいらく,名詞
愛らしい,あいらしい,形容詞
あいらしい,あいらしい,形容詞
アイランド,あいらんど,名詞
アイロン,あいろん,名詞
会う,あう,動詞
逢う,あう,動詞
遭う,あう,動詞
あう,あう,動詞
合う,あう,動詞
あう,あう,動詞
アウト,あうと,名詞
アウトドア,あうとどあ,名詞
あうんの呼吸,あうんのこきゅう,名詞
あうんの呼きゅう,あうんのこきゅう,名詞
あうんのこ吸,あうんのこきゅう,名詞
あうんのこきゅう,あうんのこきゅう,名詞
喘ぎ喘ぎ,あえぎあえぎ,副詞
喘ぎあえぎ,あえぎあえぎ,副詞
あえぎ喘ぎ,あえぎあえぎ,副詞
あえぎあえぎ,あえぎあえぎ,副詞
喘ぐ,あえぐ,動詞
あえぐ,あえぐ,動詞
喘げる,あえげる,動詞
あえげる,あえげる,動詞
敢えて,あえて,副詞
あえて,あえて,副詞
あえない,あえない,形容詞
会える,あえる,動詞
逢える,あえる,動詞
遭える,あえる,動詞
あえる,あえる,動詞
合える,あえる,動詞
あえる,あえる,動詞
和える,あえる,動詞
韲える,あえる,動詞
あえる,あえる,動詞
亜鉛,あえん,名詞
亜えん,あえん,名詞
あえん,あえん,名詞
青,あお,名詞
あお,あお,名詞
青々,あおあお,副詞
青青,あおあお,副詞
あおあお,あおあお,副詞
青嵐,あおあらし,名詞
青あらし,あおあらし,名詞
あおあらし,あおあらし,名詞
葵,あおい,名詞
あおい,あおい,名詞
アオイ,あおい,名詞
青い,あおい,形容詞
あおい,あおい,形容詞
青色,あおいろ,名詞
あおいろ,あおいろ,名詞
青黴,あおかび,名詞
青かび,あおかび,名詞
あおかび,あおかび,名詞
仰ぎ見る,あおぎみる,動詞
あおぎ見る,あおぎみる,動詞
仰ぎみる,あおぎみる,動詞
あおぎみる,あおぎみる,動詞
